title,description
Algebra and Trigonometry,"<p data-block-key=""b0flc""><i>Algebra and Trigonometry</i> provides a comprehensive exploration of algebraic principles and meets scope and sequence requirements for a typical introductory algebra and trigonometry course. The modular approach and the richness of content ensure that the book meets the needs of a variety of courses. <i>Algebra and Trigonometry</i> offers a wealth of examples with detailed, conceptual explanations, building a strong foundation in the material before asking students to apply what they’ve learned.</p>"
Algebra and Trigonometry 2e,"<p data-block-key=""mki1q""><i>Algebra and Trigonometry 2e</i> provides a comprehensive exploration of mathematical principles and meets scope and sequence requirements for a typical introductory algebra and trigonometry course. The modular approach and the richness of content ensure that the book addresses the needs of a variety of courses. <i>Algebra and Trigonometry</i> <i>2e</i> offers a wealth of examples with detailed, conceptual explanations, building a strong foundation in the material before asking students to apply what they’ve learned.</p><p data-block-key=""53d3c""></p><p data-block-key=""83om9"">The <i>Algebra and Trigonometry 2e</i> revision focused on improving relevance and representation as well as mathematical clarity and accuracy. Introductory narratives, examples, and problems were reviewed and revised using a diversity, equity, and inclusion framework. Many contexts, scenarios, and images have been changed to become even more relevant to students’ lives and interests. To maintain our commitment to accuracy and precision, examples, exercises, and solutions were reviewed by multiple faculty experts. All improvement suggestions and errata updates from the first edition were considered and unified across the different formats of the text. The first edition of <i>Algebra and Trigonometry</i> by OpenStax is available in web view <a href=""https://openstax.org/books/algebra-and-trigonometry/pages/1-introduction-to-prerequisites"">here</a>.</p><p data-block-key=""1ibhp""></p><p data-block-key=""dqqu2"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
American Government,"<p data-block-key=""wkl1v""><i>American Government</i> is designed to meet the scope and sequence requirements of the single-semester American government course. This title includes innovative features designed to enhance student learning, including Insider Perspective features and a Get Connected Module that shows students how they can get engaged in the political process. The book provides an important opportunity for students to learn the core concepts of American government and understand how those concepts apply to their lives and the world around them. <i>American Government</i> includes updated information on the 2016 presidential election.</p>"
American Government 2e,"<p data-block-key=""9r2ce""><i>American Government 2e</i> is designed to meet the scope and sequence requirements of the single-semester American Government course. This title includes innovative features designed to enhance student learning, including Insider Perspective features and a Get Connected module that shows students how they can get engaged in the political process. The book provides an important opportunity for students to learn the core concepts of American Government and understand how those concepts apply to their lives and the world around them.</p><p data-block-key=""oqupy"">Changes made in<i> American Government 2e</i> are described in the preface to help instructors transition to the second edition. The first edition of <i>American Government</i> by OpenStax is available in web view <a href=""https://cnx.org/contents/W8wOWXNF"">here</a>.</p>"
American Government 3e,"<p data-block-key=""gzr9x""><i>American Government 3e</i> aligns with the topics and objectives of many government courses. Faculty involved in the project have endeavored to make government workings, issues, debates, and impacts meaningful and memorable to students while maintaining the conceptual coverage and rigor inherent in the subject. With this objective in mind, the content of this textbook has been developed and arranged to provide a logical progression from the fundamental principles of institutional design at the founding, to avenues of political participation, to thorough coverage of the political structures that constitute American government. The book builds upon what students have already learned and emphasizes connections between topics as well as between theory and applications. The goal of each section is to enable students not just to recognize concepts, but to work with them in ways that will be useful in later courses, future careers, and as engaged citizens.</p><p data-block-key=""72bsq"">In order to help students understand the ways that government, society, and individuals interconnect, the revision includes more examples and details regarding the lived experiences of diverse groups and communities within the United States. The authors and reviewers sought to strike a balance between confronting the negative and harmful elements of American government, history, and current events, while demonstrating progress in overcoming them. In doing so, the approach seeks to provide instructors with ample opportunities to open discussions, extend and update concepts, and drive deeper engagement.<br/></p><p data-block-key=""8ssd7"">Changes made in <i>American Government 3e</i> are described in the preface to help instructors transition to the third edition. The second edition of <i>American Government</i> by OpenStax is available in web view <a href=""https://openstax.org/books/american-government-2e/pages/1-introduction"">here</a>.</p>"
Anatomy and Physiology,"<p data-block-key=""0z9p7""><i>Anatomy and Physiology</i> is a dynamic textbook for the two-semester human anatomy and physiology course for life science and allied health majors. The book is organized by body system and covers standard scope and sequence requirements. Its lucid text, strategically constructed art, career features, and links to external learning tools address the critical teaching and learning challenges in the course. The web-based version of <i>Anatomy and Physiology</i> also features links to surgical videos, histology, and interactive diagrams.<br/></p>"
Anatomy and Physiology 2e,"<p data-block-key=""u7ecw""><i>Anatomy and Physiology 2e</i> is developed to meet the scope and sequence for a two-semester human anatomy and physiology course for life science and allied health majors. The book is organized by body systems. The revision focuses on inclusive and equitable instruction and includes new student support. Illustrations have been extensively revised to be clearer and more inclusive. The web-based version of <i>Anatomy and Physiology 2e</i> also features links to surgical videos, histology, and interactive diagrams. Please learn more about the changes by previewing the preface.</p><p data-block-key=""e6jpb"">The first edition of <i>Anatomy and Physiology</i> by OpenStax is available in web view <a href=""https://openstax.org/books/anatomy-and-physiology/pages/1-introduction"">here</a>.</p><p data-block-key=""3nbp0"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
The AP Physics Collection,"<p data-block-key=""lh19k"">The <i>AP Physics Collection</i> is a free, turnkey solution for your AP<sup>®</sup> Physics course, brought to you through a collaboration between OpenStax and Rice Online Learning. The integrated collection features the OpenStax <i>College Physics for AP</i><i><sup>®</sup></i><i> Courses</i> text, Concept Trailer videos, instructional videos, problem solution videos, and a correlation guide to help you align all of your free content.<br/><br/>The <i>College Physics for AP</i><i><sup>®</sup></i><i> Courses</i> text is designed to engage students in their exploration of physics and help them apply these concepts to the Advanced Placement<sup>®</sup> test. This book is Learning List-approved for AP<sup>®</sup> Physics courses.</p><p data-block-key=""3c9um""><b>Creators of Rice Online Learning instructional videos and problem solution videos:<br/></b> Jason Hafner,<br/> Gigi Nevils-Noe, and<br/> Matt Wilson</p>"
Astronomy,"<p data-block-key=""3ntc2""><i>Astronomy</i> is designed to meet the scope and sequence requirements of one- or two-semester introductory astronomy courses. The book begins with relevant scientific fundamentals and progresses through an exploration of the solar system, stars, galaxies, and cosmology. The <i>Astronomy</i> textbook builds student understanding through the use of relevant analogies, clear and non-technical explanations, and rich illustrations. Mathematics is included in a flexible manner to meet the needs of individual instructors.</p>"
Astronomy 2e,"<p data-block-key=""kvatc"">Designed to meet the scope and sequence of your course, <i>Astronomy 2e</i> is written in clear non-technical language, with the occasional touch of humor and a wide range of clarifying illustrations. It has many analogies drawn from everyday life to help non-science majors appreciate, on their own terms, what our modern exploration of the universe is revealing. The book can be used for either a one-semester or two-semester introductory course.</p><p data-block-key=""8r5ii"">The second edition has been updated according to new exploration and discoveries. The second edition also includes a significant amount of new art and images. The first edition of <i>Astronomy</i> by OpenStax is available in web view <a href=""https://openstax.org/books/astronomy/pages/1-introduction"">here</a>.</p><p data-block-key=""2hgmc"">If you have encountered a white screen while accessing your OpenStax textbook, our developers suggest closing all of your <a href=""http://openstax.org/"">OpenStax.org</a> tabs and then loading the book again.</p>"
Biology,"<p data-block-key=""ok1k7""><i>Biology</i> is designed to cover the scope and sequence requirements of a typical two-semester biology course for science majors. The text provides comprehensive coverage of foundational research and core biology concepts through an evolutionary lens. <i>Biology</i> includes rich features that engage students in scientific inquiry, highlight careers in the biological sciences, and offer everyday applications. The book also includes clicker questions to help students understand—and apply—key concepts.<br/><br/> This book has been superseded by <a href=""https://openstax.org/details/books/biology-2e"">Biology 2e</a> and is no longer being updated. We recommend that you use Biology 2e, available <a href=""https://openstax.org/books/biology/pages/1-introduction"">here</a>.</p>"
Biology 2e,"<p data-block-key=""0w1zf""><i>Biology 2e</i> is designed to cover the scope and sequence requirements of a typical two-semester biology course for science majors. The text provides comprehensive coverage of foundational research and core biology concepts through an evolutionary lens. <i>Biology</i> includes rich features that engage students in scientific inquiry, highlight careers in the biological sciences, and offer everyday applications. The book also includes various types of practice and homework questions that help students understand—and apply—key concepts.</p><p data-block-key=""aj5fg""><br/>The 2nd edition has been revised to incorporate clearer, more current, and more dynamic explanations, while maintaining the same organization as the first edition. Art and illustrations have been substantially improved, and the textbook features additional assessments and related resources. The first edition of <i>Biology</i> by OpenStax is available in web view <a href=""https://cnx.org/contents/GFy_h8cu"">here</a>.<br/></p><p data-block-key=""dxtwt""></p>"
Biology for AP® Courses,"<p data-block-key=""cl8to""><i>Biology for AP</i><i><sup>®</sup></i><i> Courses</i> covers the scope and sequence requirements of a typical two-semester Advanced Placement<sup>®</sup> biology course. The text provides comprehensive coverage of foundational research and core biology concepts through an evolutionary lens. <i>Biology for AP</i><i><sup>®</sup></i><i> Courses</i> was designed to meet and exceed the requirements of the College Board’s AP<sup>®</sup> Biology framework while allowing significant flexibility for instructors. Each section of the book includes an introduction based on the AP<sup>®</sup> curriculum and includes rich features that engage students in scientific practice and AP<sup>®</sup> test preparation; it also highlights careers and research opportunities in biological sciences.</p><p data-block-key=""sg499""><br/>Advanced Placement<sup>®</sup> and AP<sup>®</sup> are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, this textbook.</p>"
Business Ethics,"<p data-block-key=""4s00f""><i>Business Ethics</i> is designed to meet the scope and sequence requirements of the single-semester business ethics course. This title includes innovative features designed to enhance student learning, including case studies, application scenarios, and links to video interviews with executives, all of which help instill in students a sense of ethical awareness and responsibility.</p>"
Business Law I Essentials,"<p data-block-key=""ozl6b""><i>Business Law I Essentials</i> is a brief introductory textbook designed to meet the scope and sequence requirements of courses on Business Law or the Legal Environment of Business. The concepts are presented in a streamlined manner, and cover the key concepts necessary to establish a strong foundation in the subject. The textbook follows a traditional approach to the study of business law. Each chapter contains learning objectives, explanatory narrative and concepts, references for further reading, and end-of-chapter questions.</p><p data-block-key=""ewhak""><br/><i>Business Law I Essentials</i> may need to be supplemented with additional content, cases, or related materials, and is offered as a foundational resource that focuses on the baseline concepts, issues, and approaches.</p>"
